VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 1FMCU0GD4JUA94853,Ford,Escape,SE FWD,2018,92114, Automatic,FWD,Gas,Gray,Black,1,1,Personaluse,13298,4, NC,26.5
 2GNAXKEV9L6144147,Chevrolet,Equinox,LT with 1LT FWD,2020,47782, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,21037,2, AZ,29.0
 2GNAXKEV7L6235255,Chevrolet,Equinox,LT with 1LT FWD,2020,15230, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,22400,2, ID,29.0
 1FTMF1E89GFC85695,Ford,F-150,XL Regular Cab 6.5' Box 4WD,2016,225002, Automatic,4WD,Gas,White,Gray,0,0,Personaluse,11590,6, MI,20.0
 3GNAXSEV0JS532611,Chevrolet,Equinox,LT with 1LT AWD,2018,188097, Automatic,AWD,Gas,White,Black,1,2,Fleetuse,12500,4, NM,27.0
 1FTEW1EP5JKD62086,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,121374, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,26657,4, ID,20.5
 2GNAXUEV3K6157311,Chevrolet,Equinox,LT with 1LT AWD,2019,87000, Automatic,AWD,Gas,Silver,Gray,0,2,Personaluse,16383,3, TX,27.5
 JTMZFREV6JJ172236,Toyota,RAV4,LE FWD,2018,62099, Automatic,FWD,Gas,White,Black,0,1,Personaluse,22953,4, TX,26.5
 1FT7W2B69FEC14622,Ford,Super Duty F-250,"Lariat Crew Cab 172"" 4WD",2015,139118, Automatic,4WD,Gas,White,Black,0,3,Personaluse,29999,7, TX,23.5
 2GNAXVEXXK6272592,Chevrolet,Equinox,LT with 2LT AWD,2019,81981, Automatic,AWD,Gas,White,Gray,1,1,Personaluse,18950,3, NM,25.0
 3N1AB7AP2KY253819,Nissan,Sentra,SV CVT,2019,42808, Automatic,FWD,Gas,White,Black,0,1,Personaluse,14250,3, OK,33.0
 1N4BL4BV5LC249595,Nissan,Altima,2.5 S FWD,2020,48630, Automatic,FWD,Gas,White,Black,0,1,Personaluse,21989,2, AZ,33.5
 1FTEW1EB4KFC09875,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,72382, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,33411,3, FL,20.5
 1G1ZD5ST3LF039711,Chevrolet,Malibu,LT,2020,40078, Automatic,FWD,Gas,Black,Black,1,2,Personaluse,21998,2, TX,32.5
 3GNAXHEV6JL354359,Chevrolet,Equinox,LS with 1LS FWD,2018,172840, Automatic,FWD,Gas,Blue,Gray,0,1,Personaluse,10991,4, FL,29.0
 1N4AL3AP2FN902899,Nissan,Altima,2.5 S,2015,68000, Automatic,FWD,Gas,Gray,Black,0,3,Fleetuse,12982,7, PA,32.5
 1G1ZD5STXLF039091,Chevrolet,Malibu,LT,2020,69955, Automatic,FWD,Gas,White,Black,0,2,Personaluse,21497,2, GA,32.5
 5YFS4RCE8LP019060,Toyota,Corolla,SE CVT,2020,27282, Automatic,FWD,Gas,White,Black,1,1,Personaluse,19997,2, FL,35.5
 1FT7W2BT4JEC98217,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,2018,153095, Automatic,4WD,Diesel,Black,Black,0,1,Personaluse,44990,4, TX,23.5
 1FTFW1ET8DKD90373,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2013,222742, Automatic,4WD,Gas,Red,Gray,0,1,Personaluse,9895,9, WI,16.5
 2C4RDGBG4KR713636,Dodge,Grand Caravan,SE,2019,174098, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,11499,3, NC,21.0
 5TFRX5GN3JX112978,Toyota,Tacoma,SR5 Access Cab 6.1' Bed I4 RWD Automatic,2018,105094, Automatic,RWD,Gas,White,Gray,0,1,Personaluse,20499,4, CA,21.5
 1C3CCCAB5FN737622,Chrysler,200,Limited FWD,2015,103185, Automatic,FWD,Gas,Gray,Black,0,2,Fleetuse,11185,7, TX,29.5
 1N4BL4BV2LC251966,Nissan,Altima,2.5 S FWD,2020,39666, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,22939,2, AZ,33.5
 55SWF4JB9GU104741,Mercedes-Benz,C-Class,C 300 Sedan RWD,2016,49610, Automatic,RWD,Gas,White,Beige,1,2,Personaluse,21000,6, CA,29.5
 3GCPCRECXJG187600,Chevrolet,Silverado 1500,LT Crew Cab Short Box 2WD,2018,102945, Automatic,RWD,Gas,White,Brown,1,1,Personaluse,24995,4, TX,21.0
 5NPD84LF2LH568355,Hyundai,Elantra,SEL 2.0L IVT,2020,59723, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,17992,2, TX,35.0
 3KPFK4A71HE137569,Kia,Forte,LX Sedan Automatic,2017,95915, Automatic,FWD,Gas,Red,Black,1,2,Fleetuse,9987,5, TX,33.5
 1N4AL3AP7GN364864,Nissan,Altima,2.5 S,2016,129620, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,9500,6, TX,33.0
 1FTEW1EB4MKD56742,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2021,10438, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,40599,1, FL,20.5
 1FM5K8DH7JGB13222,Ford,Explorer,XLT 4WD,2018,103142, Automatic,4WD,Gas,Black,Black,0,2,Fleetuse,20990,4, OH,19.0
 1C3CCCAB2FN594807,Chrysler,200,Limited FWD,2015,103587, Automatic,FWD,Gas,Black,Black,0,6,Personaluse,11694,7, CA,29.5
 WDDWF4KB4JR410284,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,2018,33131, Automatic,AWD,Gas,Blue,Black,0,2,Personaluse,23349,4, NY,27.5
 1FTFW1EG8JFC04032,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2018,129618, Automatic,4WD,Gas,Red,Black,0,1,Personaluse,26990,4, MI,21.5
 4T1B11HK6JU555249,Toyota,Camry,SE I4 Automatic,2018,122012, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,15999,4, CA,33.5
 3GCUKSEC2EG349545,Chevrolet,Silverado 1500,LTZ with 2LZ Crew Cab Standard Box 4WD,2014,173759, Automatic,4WD,Gas,White,Brown,0,2,Personaluse,20893,8, TX,19.0
 1FTEW1CP0LKF15592,Ford,F-150,XL SuperCrew 5.5' Box 2WD,2020,24585, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,34250,2, TX,22.0
 1FADP3E28HL214260,Ford,Focus,S Sedan,2017,96080, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,9488,5, TX,29.5
 1C4RJFBG4HC770035,Jeep,Grand Cherokee,Limited 4WD,2017,122006, Automatic,4WD,Gas,White,Black,0,1,Personaluse,20940,5, PA,21.5
 3FA6P0K96ER207488,Ford,Fusion,Titanium FWD,2014,83328, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,11666,8, TX,27.5
 5NPDH4AE6DH341164,Hyundai,Elantra,Limited Sedan Automatic,2013,141087, Automatic,FWD,Gas,White,Beige,0,2,Personaluse,7765,9, TX,33.0
 1FTEW1EF1FFA31366,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2015,177723, Automatic,4WD,Gas,Red,Gray,1,2,Fleetuse,17880,7, IL,20.0
 1GYKNCRS4KZ217480,Cadillac,XT5,Luxury FWD,2019,52586, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,28996,3, FL,22.5
 5XYPK4A58KG463883,Kia,Sorento,SX V6 FWD,2019,68281, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,27000,3, FL,22.5
 3GCUKRER1JG309688,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,2018,126801, Automatic,4WD,Gas,White,Black,0,1,Personaluse,23955,4, OR,19.5
 1FTEW1EP2FFB29766,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2015,158248, Automatic,4WD,Gas,White,Black,2,0,Personaluse,22990,7, TX,20.5
 1N4AL3AP1FC482080,Nissan,Altima,2.5 S,2015,96952, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,10999,7, TX,32.5
 2C4RDGCG8KR671728,Dodge,Grand Caravan,SXT,2019,55218, Automatic,FWD,Gas,Black,Black,1,2,Personaluse,20600,3, ID,21.0
 3FA6P0HD7GR389474,Ford,Fusion,SE FWD,2016,42876, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,14999,6, OR,28.0
 1FT7W2B69LEC73326,Ford,Super Duty F-250,XLT Crew Cab 6.75' Box 4WD,2020,63811, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,48990,2, TX,23.5
 1FTEW1E8XGFB48012,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2016,138684, Automatic,4WD,Gas,Blue,Gray,0,1,Personaluse,20990,6, MI,20.0
 1FTEW1E58JKE38852,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,163631, Automatic,4WD,Gas,Black,Black,1,1,Fleetuse,22999,4, GA,20.5
 1FMSK8DHXLGA35640,Ford,Explorer,XLT 4WD,2020,13080, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,36200,2, IN,19.0
 19XFC1F33KE214743,Honda,Civic,EX Sedan CVT,2019,191041, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,15497,3, CA,37.0
 1FTFW1E43KFA16574,Ford,F-150,Platinum SuperCrew 6.5' Box 4WD,2019,133269, Automatic,4WD,Gas,Red,Black,0,1,Personaluse,32999,3, CA,19.0
 1FTEX1E88GKE26572,Ford,F-150,XL SuperCab 6.5' Box 4WD,2016,89367, Automatic,4WD,Gas,White,Black,0,1,Personaluse,21999,6, WA,20.0
 3FA6P0H76HR280953,Ford,Fusion,SE FWD,2017,152000, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,9500,5, MI,26.5
 1G1ZD5ST3LF074863,Chevrolet,Malibu,LT,2020,63518, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,18500,2, CA,32.5
 KL4CJASB4KB824986,Buick,Encore,Preferred FWD,2019,78836, Automatic,FWD,Gas,Silver,Black,4,1,Personaluse,14995,3, NJ,27.5
 1N4BL4BVXLC200120,Nissan,Altima,2.5 S FWD,2020,63505, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,19698,2, TX,33.5
 1FM5K7D83JGA97661,Ford,Explorer,XLT FWD,2018,142010, Automatic,FWD,Gas,Blue,Black,0,1,Personaluse,17900,4, OK,20.5
 2C4RDGEG3KR679152,Dodge,Grand Caravan,GT,2019,86378, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,20177,3, AR,21.0
 1GYKNDRS8KZ102189,Cadillac,XT5,Luxury AWD,2019,54776, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,26995,3, NY,22.5
 WDDHF5KB2EA908129,Mercedes-Benz,E-Class,E 350 Sport Sedan RWD,2014,82068, Automatic,RWD,Gas,Gray,Black,0,2,Personaluse,16994,8, CA,25.5
 3VWPL7AJXEM615016,Volkswagen,Jetta,SportWagen TDI DSG,2014,147110, Automatic,FWD,Diesel,Black,Black,0,2,Fleetuse,7999,8, TX,34.0
 JTDEPMAE8MJ168133,Toyota,Corolla,LE CVT,2021,4586, Automatic,FWD,Gas,Red,Gray,0,1,Personaluse,21488,1, FL,34.0
 1N4AL3AP2FC249289,Nissan,Altima,2.5 S,2015,118977, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,12455,7, CA,32.5
 5NPDH4AE3DH316190,Hyundai,Elantra,GLS Sedan Automatic,2013,111311, Automatic,FWD,Gas,Silver,Gray,1,3,Personaluse,8998,9, CA,33.0
 5XYPGDA58KG481088,Kia,Sorento,LX V6 AWD,2019,115359, Automatic,AWD,Gas,White,Beige,2,2,Fleetuse,15099,3, NJ,21.5
 1FMJU1HT4JEA17445,Ford,Expedition,XLT RWD,2018,95032, Automatic,RWD,Gas,White,Gray,0,1,Personaluse,30880,4, TX,20.5
 55SWF4JB7FU085539,Mercedes-Benz,C-Class,C 300 Sedan RWD,2015,89146, Automatic,RWD,Gas,Silver,Gray,1,2,Personaluse,17899,7, CA,29.5
 1FM5K7D82HGD39883,Ford,Explorer,XLT FWD,2017,56221, Automatic,FWD,Gas,Black,Black,1,2,Personaluse,22300,5, TX,20.5
 3C6RR7LT6JG168225,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2018,160775, Automatic,4WD,Gas,White,Gray,0,1,Fleetuse,19990,4, TX,19.5
 1FMCU9G9XFUA32073,Ford,Escape,SE 4WD,2015,197019, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,8000,7, IL,25.5
 1FTFW1ET0DKF21974,Ford,F-150,XL SuperCrew 5.5' Box 4WD,2013,67862, Automatic,4WD,Gas,White,Gray,0,0,Personaluse,20991,9, TX,16.5
 5NPD84LF3JH245610,Hyundai,Elantra,SEL 2.0L Sedan Automatic (SULEV),2018,76907, Automatic,FWD,Gas,White,Black,1,2,Personaluse,13898,4, VA,32.5
 1FTEW1E51JFE29029,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,96959, Automatic,4WD,Gas,Black,Gray,0,1,Personaluse,28590,4, MI,20.5
 4T1B11HK8JU038440,Toyota,Camry,XLE I4 Automatic,2018,35816, Automatic,FWD,Gas,White,Beige,0,2,Personaluse,19500,4, VA,33.5
 1FT8W3B61HEB38309,Ford,Super Duty F-350,Lariat Crew Cab 6.75' Bed 4WD SRW,2017,111424, Automatic,4WD,Gas,White,Black,0,2,Personaluse,44595,5, TX,23.5
 1G1ZD5ST7LF041851,Chevrolet,Malibu,LT,2020,59224, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,18991,2, FL,32.5
 3N1AB7AP1KY395367,Nissan,Sentra,S CVT,2019,81453, Automatic,FWD,Gas,Gray,Black,1,2,Fleetuse,11995,3, OH,31.0
 1G1ZD5ST2LF071274,Chevrolet,Malibu,LT,2020,61668, Automatic,FWD,Gas,White,Black,0,1,Fleetuse,21889,2, NV,32.5
 1N4AL3AP9FN344307,Nissan,Altima,2.5 S,2015,153731, Automatic,FWD,Gas,White,Beige,0,1,Personaluse,9000,7, KS,32.5
 1C3CCCAB8FN596982,Chrysler,200,Limited FWD,2015,105996, Automatic,FWD,Gas,White,Black,0,3,Fleetuse,9777,7, CA,29.5
 2GNAXHEV9K6262586,Chevrolet,Equinox,LS with 1LS FWD,2019,25704, Automatic,FWD,Gas,Silver,Gray,1,1,Personaluse,20600,3, NV,29.0
 1FTEX1CB9KKC55502,Ford,F-150,XL SuperCab 6.5' Box 2WD,2019,125255, Automatic,RWD,Gas,White,Gray,0,1,Personaluse,20995,3, IN,22.0
 2C4RDGCG6KR744319,Dodge,Grand Caravan,SXT,2019,80024, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,19990,3, FL,21.0
 1FTFW1CF7DKE82958,Ford,F-150,XL SuperCrew 5.5' Box 2WD,2013,264354, Automatic,RWD,Gas,White,Black,1,2,Fleetuse,9999,9, CA,20.0
 1FTEW1EB4KFC33173,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,21411, Automatic,4WD,Gas,Black,Gray,0,1,Fleetuse,38649,3, TN,20.5
 JN8AT2MT4KW254472,Nissan,Rogue,SV FWD,2019,80661, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,21999,3, FL,29.5
 1FMCU0GD9JUC40843,Ford,Escape,SE FWD,2018,125753, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,13598,4, VA,26.5
 1FMCU0HD6JUD22060,Ford,Escape,SEL FWD,2018,121590, Automatic,FWD,Gas,White,Black,0,1,Personaluse,13999,4, CA,26.5
 5YFEPRAE2LP066480,Toyota,Corolla,LE CVT,2020,49578, Automatic,FWD,Gas,Silver,Black,0,1,Fleetuse,22488,2, CA,34.0
 3N1AB7AP5KY246850,Nissan,Sentra,SV CVT,2019,123831, Automatic,FWD,Gas,Blue,Black,1,1,Personaluse,12999,3, NC,33.0
 2C4RDGCG7KR765793,Dodge,Grand Caravan,SXT,2019,62270, Automatic,FWD,Gas,White,Black,0,1,Personaluse,19695,3, FL,21.0
 1FTVW1EF5EKF48790,Ford,F-150,XLT HD Payload Package SuperCrew 6.5' Box 4WD,2014,150411, Automatic,4WD,Gas,Gray,Gray,0,1,Personaluse,11980,8, MI,16.5
 1C3CCCAB7FN679769,Chrysler,200,Limited FWD,2015,110355, Automatic,FWD,Gas,Red,Beige,1,2,Fleetuse,11801,7, TX,29.5
 1C6RR6FG0KS712561,Ram,1500 ,"Tradesman Quad Cab 6'4"" Box 2WD",2019,11958, Automatic,RWD,Gas,Gray,Black,1,1,Personaluse,23900,3, TX,21.0
 4T1B11HK7KU774965,Toyota,Camry,LE Automatic,2019,138000, Automatic,FWD,Gas,White,Gray,0,2,Personaluse,17500,3, TX,33.5
 1FTEW1EP0MFB74251,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2021,9448, Automatic,4WD,Gas,White,Black,0,1,Personaluse,43995,1, IL,20.5
 1N4AL3AP0FC186158,Nissan,Altima,2.5 S,2015,136691, Automatic,FWD,Gas,Silver,Black,0,3,Personaluse,9995,7, CA,32.5
 2HGFB2F51FH543169,Honda,Civic,LX Sedan CVT,2015,128791, Automatic,FWD,Gas,Black,Black,2,2,Personaluse,10995,7, CA,34.5
 1G1ZD5ST2LF007302,Chevrolet,Malibu,LT,2020,74005, Automatic,FWD,Gas,Silver,Black,0,2,Fleetuse,22088,2, TX,32.5
 2T1BURHE6KC148714,Toyota,Corolla,SE CVT,2019,36845, Automatic,FWD,Gas,White,Black,0,1,Personaluse,16995,3, CA,31.5
 2GNAXKEV6K6216274,Chevrolet,Equinox,LT with 1LT FWD,2019,121468, Automatic,FWD,Gas,White,Gray,0,2,Fleetuse,15977,3, TX,29.0
 1G1ZD5ST8LF119117,Chevrolet,Malibu,LT,2020,61014, Automatic,FWD,Gas,Red,Black,0,1,Personaluse,22998,2, SC,32.5
 1FTEW1E51LFA95605,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,14802, Automatic,4WD,Gas,White,Black,0,2,Personaluse,35950,2, FL,20.5
 1GNEVJKW9KJ253532,Chevrolet,Traverse,High Country with 2LZ AWD,2019,119034, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,28900,3, TX,21.0
 1FTEW1E83HFC21187,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2017,46804, Automatic,4WD,Gas,White,Gray,0,3,Personaluse,32931,5, VA,20.0
 1FTEW1EB5KFA65060,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,102956, Automatic,4WD,Gas,Black,Gray,0,2,Personaluse,26876,3, KY,20.5
 JTDEPRAE4LJ082166,Toyota,Corolla,LE CVT,2020,57600, Automatic,FWD,Gas,White,Black,1,1,Personaluse,18750,2, OK,34.0
 3GCUKREC8JG594319,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,2018,100905, Automatic,4WD,Gas,Silver,Black,0,1,Fleetuse,24975,4, VA,19.5
 1FTEW1E50JKE45892,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,87995, Automatic,4WD,Gas,White,Gray,0,2,Personaluse,29989,4, WA,20.5
 1G1ZD5STXLF041228,Chevrolet,Malibu,LT,2020,50535, Automatic,FWD,Gas,White,Black,0,1,Fleetuse,24988,2, LA,32.5
 1FMCU0GD9JUC77245,Ford,Escape,SE FWD,2018,146570, Automatic,FWD,Gas,White,Black,0,2,Fleetuse,12995,4, NY,26.5
 1GNERGKW7KJ208581,Chevrolet,Traverse,LT Cloth with 1LT FWD,2019,73098, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,27618,3, TX,22.5
 5TFUW5F16JX733191,Toyota,Tundra,SR5 Double Cab 6.5' Bed Flex Fuel 5.7L V8 4WD,2018,76672, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,29995,4, TX,15.0
 1FTEW1E51KFC09973,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,77300, Automatic,4WD,Gas,Gray,Gray,0,2,Personaluse,34994,3, TN,20.5
 1FTEW1E41KKC61120,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,123816, Automatic,4WD,Gas,White,Gray,0,1,Fleetuse,29995,3, TX,21.5
 1FTEW1E5XKFC91637,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,28566, Automatic,4WD,Gas,White,Black,0,1,Personaluse,48999,3, WA,21.5
 3N1CN7AP4JL801461,Nissan,Versa,SV CVT,2018,104865, Automatic,FWD,Gas,Black,Black,0,3,Personaluse,8455,4, FL,35.0
 3FA6P0HD5ER223709,Ford,Fusion,SE FWD,2014,100376, Automatic,FWD,Gas,Black,Black,2,4,Personaluse,9995,8, FL,28.0
 1G1ZD5ST0LF023109,Chevrolet,Malibu,LT,2020,61167, Automatic,FWD,Gas,White,Black,0,1,Personaluse,22316,2, TX,32.5
 2GNAXKEVXK6111561,Chevrolet,Equinox,LT with 1LT FWD,2019,37652, Automatic,FWD,Gas,White,Black,1,2,Personaluse,18995,3, OH,29.0
 3GNAXJEV7JS595036,Chevrolet,Equinox,LT with 1LT FWD,2018,79871, Automatic,FWD,Gas,White,Black,0,2,Personaluse,14899,4, KS,29.0
 WDDGF4HB0DA784390,Mercedes-Benz,C-Class,C 250 Sport Sedan RWD,2013,123680, Automatic,RWD,Gas,Red,Beige,1,3,Personaluse,8900,9, TX,26.0
 1FMCU0GD0KUB75530,Ford,Escape,SE FWD,2019,88659, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,16774,3, VA,26.5
 1FTEW1EP1FKD71889,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2015,198500, Automatic,4WD,Gas,White,Gray,0,3,Personaluse,16690,7, UT,20.0
 5NPD84LFXLH580088,Hyundai,Elantra,SEL 2.0L IVT,2020,52604, Automatic,FWD,Gas,Red,Gray,1,1,Personaluse,14000,2, FL,35.0
 1FTMF1C87FKD62346,Ford,F-150,XL Regular Cab 6.5' Box RWD,2015,99410, Automatic,RWD,Gas,White,Gray,1,6,Fleetuse,16788,7, AL,21.5
 1FTFW1E53JKE21297,Ford,F-150,XLT SuperCrew 6.5' Box 4WD,2018,173638, Automatic,4WD,Gas,White,Gray,1,1,Personaluse,22187,4, TX,19.0
